"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"world.fluidtechnology.net/_AccountObjects/USCLS1/Servers";"OU=Servers,OU=USCLS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USCLS1";"United States"
"world.fluidtechnology.net/_AccountObjects/USCLT1/Servers";"OU=Servers,OU=USCLT1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USCLT1";"United States"
"world.fluidtechnology.net/_AccountObjects/USCOS1/Servers";"OU=Servers,OU=USCOS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"Gmt-7";"USCOS1";"United States"
"world.fluidtechnology.net/_AccountObjects/USCWT1/Servers";"OU=Servers,OU=USCWT1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USCWT1";"United States"
"world.fluidtechnology.net/_AccountObjects/USDUJ1/Servers";"OU=Servers,OU=USDUJ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USDUJ1";"United States"
"world.fluidtechnology.net/_AccountObjects/USEVI1/Servers";"OU=Servers,OU=USEVI1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-8";"USEVI1";"United States"
"world.fluidtechnology.net/_AccountObjects/USFHR1/Servers";"OU=Servers,OU=USFHR1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-8";"USFHR1";"United States"
"world.fluidtechnology.net/_AccountObjects/USFRS1/Servers";"OU=Servers,OU=USFRS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-8";"USFRS1";"United States"
"world.fluidtechnology.net/_AccountObjects/USHLM1/Servers";"OU=Servers,OU=USHLM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USHLM1";"United States"
"world.fluidtechnology.net/_AccountObjects/USIND1/Servers";"OU=Servers,OU=USIND1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USIND1";"United States"
"world.fluidtechnology.net/_AccountObjects/USLBB1/Servers";"OU=Servers,OU=USLBB1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USLBB1";"United States"
"world.fluidtechnology.net/_AccountObjects/USMGV1/Servers";"OU=Servers,OU=USMGV1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USMGV1";"United States"
"world.fluidtechnology.net/_AccountObjects/USMGV1/Servers/Cluster";"OU=Cluster,OU=Servers,OU=USMGV1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_AccountObjects/USMRQ1/Servers";"OU=Servers,OU=USMRQ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USMRQ1";"United States"
"world.fluidtechnology.net/_AccountObjects/USPEW1/Servers";"OU=Servers,OU=USPEW1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USPEW1";"United States"
"world.fluidtechnology.net/_AccountObjects/USQHO1/Servers";"OU=Servers,OU=USQHO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;"USQHO1";"United States"
"world.fluidtechnology.net/_AccountObjects/USRRK1/Servers";"OU=Servers,OU=USRRK1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USRRK1";"United States"
"world.fluidtechnology.net/_AccountObjects/USSAN1/Servers";"OU=Servers,OU=USSAN1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-8";"USSAN1";"United States"
"world.fluidtechnology.net/_AccountObjects/USSFS1/Servers";"OU=Servers,OU=USSFS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USSFS1";"United States"
"world.fluidtechnology.net/_AccountObjects/USSGV1/Servers";"OU=Servers,OU=USSGV1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USSGV1";"United States"
"world.fluidtechnology.net/_AccountObjects/USSVQ1/Servers";"OU=Servers,OU=USSVQ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USSVQ1";"United States"
"world.fluidtechnology.net/_AccountObjects/USTNL1/Servers";"OU=Servers,OU=USTNL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USTNL1";"United States"
"world.fluidtechnology.net/_AccountObjects/USTVI1/Servers";"OU=Servers,OU=USTVI1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USTVI1";"United States"
"world.fluidtechnology.net/_AccountObjects/USTXK1/Servers";"OU=Servers,OU=USTXK1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USTXK1";"United States"
"world.fluidtechnology.net/_AccountObjects/USUTN1/Servers";"OU=Servers,OU=USUTN1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USUTN1";"United States"
"world.fluidtechnology.net/_AccountObjects/USXZM1/Servers";"OU=Servers,OU=USXZM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USXZM1";"United States"
"world.fluidtechnology.net/_AccountObjects/USYSO1/Servers";"OU=Servers,OU=USYSO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USYSO1";"United States"
"world.fluidtechnology.net/_AccountObjects/USZEL1/Servers";"OU=Servers,OU=USZEL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USZEL1";"United States"
"world.fluidtechnology.net/_AccountObjects/UYMVD1/Servers";"OU=Servers,OU=UYMVD1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-3";"UYMVD1";"Uruguay"
"world.fluidtechnology.net/_AccountObjects/ZAJNB1/Servers";"OU=Servers,OU=ZAJNB1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+2";"ZAJNB1";"South Africa"
"world.fluidtechnology.net/_ApplicationObjects/BTS/Servers";"OU=Servers,OU=BTS,OU=_ApplicationObjects,DC=world,DC=fluidtechnology,DC=net";;"BTS";
"world.fluidtechnology.net/_ApplicationObjects/UCCE/UCCE_Servers";"OU=UCCE_Servers,OU=UCCE,OU=_ApplicationObjects,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/ATSTC1/CitrixCloud/2022";"OU=2022,OU=CitrixCloud,OU=ATSTC1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/AUSYD1/Citrix_Infrastructure";"OU=Citrix_Infrastructure,OU=AUSYD1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/AUSYD1/Xen715/Application";"OU=Application,OU=Xen715,OU=AUSYD1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/AUSYD1/Xen715/Application/Test";"OU=Test,OU=Application,OU=Xen715,OU=AUSYD1,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/AUSYD2/Citrix Cloud/Xenapp";"OU=Xenapp,OU=Citrix Cloud,OU=AUSYD2,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
"world.fluidtechnology.net/_GlobalServers/CitrixServers/AUSYD2/Citrix_Infrastructure";"OU=Citrix_Infrastructure,OU=AUSYD2,OU=CitrixServers,OU=_GlobalServers,DC=world,DC=fluidtechnology,DC=net";;;
